date,index_code,close,source,raw_payload_hash
2025-01-02,ASPI,15929.77,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-02,SL20,4732.06,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-03,ASPI,15845.06,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-03,SL20,4732.58,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-06,ASPI,15911.86,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-06,SL20,4703.99,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-07,ASPI,15829.37,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-07,SL20,4727.82,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-08,ASPI,15811.09,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-08,SL20,4757.05,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-09,ASPI,15824.31,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-09,SL20,4762.31,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-10,ASPI,15736.91,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
2025-01-10,SL20,4734.44,cse-dataset/sample,78dfa0277f3a5e15f5cd16acacc4ebc11424f2319011420b4c8b1375ec98ca6b
